i,j,r,pot,Fieldx,Fieldy
6,8,24.08318915758459,0.022812993754860105,0.003836653015632423,-0.0028483667254170664
6,9,23.430749027719962,0.025655643229002326,0.004330433013534014,-0.00283225007755533
6,10,22.80350850198276,0.028477493909970765,0.004826132265787663,-0.0028053658178524617
6,11,22.20360331117452,0.03126637486470725,0.00532208970950231,-0.0027647872655116347
6,12,21.633307652783937,0.034007068440994034,0.005815958289510601,-0.002707388268341323
6,13,21.095023109728988,0.036681151401389896,0.006304614380481284,-0.0026299428246392247
6,14,20.591260281974,0.039266954090272484,0.006784082636449206,-0.002529263968822793
6,15,20.12461179749811,0.04173967933903548,0.007249490409439372,-0.002402385032441754
6,16,19.697715603592208,0.04407172415515599,0.007695069328318538,-0.002246781708621033
6,17,19.313207915827967,0.04623324275627755,0.008114223761602282,-0.0020606263288634394
6,18,18.973665961010276,0.04819297681288287,0.008499685273620442,-0.0018430566308957515
6,19,18.681541692269406,0.04991935601806905,0.00884376718303755,-0.0015944311013112097
6,20,18.439088914585774,0.05138183901550529,0.009138722584290014,-0.0013165338412771052
6,21,18.24828759089466,0.05255242370062326,0.009377192417569985,-0.0010126869879576554
6,22,18.110770276274835,0.0534072129914206,0.009552709126042787,-0.0006877316076330346
6,23,18.027756377319946,0.05392788691588933,0.00966020054139475,-0.0003478513328481099
6,24,18.0,0.05410291565711682,0.009696424601471076,-2.3683596546419938e-07
6,25,18.027756377319946,0.05392836058782026,0.009660265312410835,0.0003473805995268149
6,26,18.110770276274835,0.05340815445806319,0.00955283786438418,0.0006872696728964928
6,27,18.24828759089466,0.052553821242027274,0.009377383520699882,0.0010122396601405653
6,28,18.439088914585774,0.05138367513778206,0.00913897366010159,0.0013161068429215286
6,29,18.681541692269406,0.049921607556184217,0.008844075063795604,0.0015940300353802055
6,30,18.973665961010276,0.04819561506702165,0.008500046034808244,0.0018426869474694567
6,31,19.313207915827967,0.0462362336612453,0.008114632745155653,0.0020602932922692066
6,32,19.697715603592208,0.044075028482483236,0.0076955211700304865,0.002246490365236241
6,33,20.12461179749811,0.04174325293077282,0.007249979070985867,0.002402140179623421
6,34,20.591260281974,0.039270748123236394,0.006784601441690383,0.002529070124792497
6,35,21.095023109728988,0.03668511268118783,0.006305156055537997,0.0026298041991357456
6,36,21.633307652783937,0.0340111397249649,0.00581651500680915,0.0027073087345701567
6,37,22.20360331117452,0.031270495212047514,0.005322653135798895,0.0027647703337790337
6,38,22.80350850198276,0.028481599057406836,0.0048266936136546965,0.0028054146106008
