i,j,phi,Ex,Ey
7,24,0.0015825112352883608,-2.278299430663079e-07,-0.00028698850046713633
7,25,0.001575918131023183,1.3294365702812175e-05,-0.0002854216635917434
7,26,0.0015559225038827365,2.634653116195102e-05,-0.0002807420845326329
7,27,0.0015232250686992809,3.849995566393167e-05,-0.00027318132644847085
7,28,0.0014789225925548731,4.9406554957868174e-05,-0.00026309333824849177
7,29,0.0014244119587835445,5.8821821254388955e-05,-0.0002509139343047766
7,30,0.0013612789500460952,6.661247528222793e-05,-0.00023711671490797873
7,31,0.0012911870082190887,7.275041107935784e-05,-0.00022217272043390142
7,32,0.0012157781278873795,7.7296769007919e-05,-0.00020651863923291935
7,33,0.0011365934702032507,8.038071200528699e-05,-0.00019053554618395785
7,34,0.0010550167038768056,8.217701835058674e-05,-0.0001745378188312546
7,35,0.0009722394335020772,8.288548892834095e-05,-0.00015877043839799962
7,36,0.0008892457260201237,8.271390297074922e-05,-0.0001434123055436984
7,37,0.0008068116275605788,8.186517037255019e-05,-0.00012858324930359842
7,38,0.0007255153852750233,8.052856033428669e-05,-0.00011435280486160913
7,39,0.0006457545068920054,7.887444068953786e-05,-0.0001007493563297254
7,40,0.0005677665038959476,7.7051775575923e-05,-8.77687404653374e-05
7,41,0.0004916509557401594,7.518761670819617e-05,-7.538181535549519e-05
7,42,0.00041739127047955523,7.338790920624719e-05,-6.354079471620179e-05
7,43,0.000344875137327665,7.173906006432049e-05,-5.2184342661396315e-05
7,44,0.00027391315035091426,7.03098497241732e-05,-4.124153696735577e-05
7,45,0.00020425543787931858,6.915338523597445e-05,-3.063486452949268e-05
7,46,0.00013560637987896536,6.830888908857122e-05,-2.0282431512015003e-05
7,47,6.763765970217614e-05,6.780318993948268e-05,-1.0099568589987738e-05
7,48,0.0,3.381882985108807e-05,-0.0
8,0,0.0,-3.8517337030086765e-05,-0.0
