t,x,y
830,32.4,33.2
831,32.8,33.2
832,33.2,33.4
833,33.2,33.8
834,33.4,34.2
835,33.8,34.2
836,34.2,34.4
837,34.2,34.8
838,34.4,35.2
839,34.8,35.2
840,35.2,35.4
841,35.2,35.8
842,35.4,36.2
843,35.8,36.2
844,36.2,36.4
845,36.2,36.8
846,36.4,37.2
847,36.8,37.2
848,37.2,37.4
849,37.2,37.8
850,37.4,38.2
851,37.8,38.2
852,38.2,38.4
853,38.2,38.8
854,38.4,39.2
855,38.8,39.2
856,39.2,39.4
857,39.2,39.8
858,39.4,40.2
859,39.8,40.2
860,40.2,40.4
861,40.2,40.8
862,40.4,41.2
863,40.8,41.2
864,41.2,41.4
865,41.2,41.8
866,41.4,42.2
867,41.8,42.2
868,42.2,42.4
869,42.2,42.8
870,42.4,43.2
871,42.8,43.2
872,43.2,43.4
873,43.2,43.8
874,43.4,44.2
875,43.8,44.2
876,44.2,44.4
877,44.2,44.8
878,44.4,45.2
879,44.8,45.2
880,45.2,45.4
881,45.2,45.8
882,45.4,46.2
883,45.8,46.2
884,46.2,46.4
885,46.2,46.8
886,46.4,47.2
887,46.8,47.2
888,47.2,47.4
889,47.2,47.8
890,47.4,48.2
891,47.8,48.2
892,48.2,48.4
903,0.8,1.2
904,1.2,1.4
905,1.2,1.8
906,1.4,2.2
907,1.8,2.2
908,2.2,2.4
909,2.2,2.8
910,2.4,3.2
911,2.8,3.2
912,3.2,3.4
913,3.2,3.8
914,3.4,4.2
915,3.8,4.2
916,4.2,4.4
917,4.2,4.8
918,4.4,5.2
919,4.8,5.2
920,5.2,5.4
921,5.2,5.8
922,5.4,6.2
923,5.8,6.2
924,6.2,6.4
925,6.2,6.8
926,6.4,7.2
927,6.8,7.2
928,7.2,7.4
929,7.2,7.8
930,7.4,8.2
931,7.8,8.2
932,8.2,8.4
933,8.2,8.8
934,8.4,9.2
935,8.8,9.2
936,9.2,9.4
937,9.2,9.8
938,9.4,10.2
939,9.8,10.2
940,10.2,10.4
941,10.2,10.8
942,10.4,11.2
943,10.8,11.2
944,11.2,11.4
945,11.2,11.8
946,11.4,12.2
947,11.8,12.2
948,12.2,12.4
949,12.2,12.8
950,12.4,13.2
951,12.8,13.2
952,13.2,13.4
953,13.2,13.8
954,13.4,14.2
955,13.8,14.2
956,14.2,14.4
957,14.2,14.8
958,14.4,15.2
959,14.8,15.2
960,15.2,15.4
961,15.2,15.8
962,15.4,16.2
963,15.8,16.2
964,16.2,16.4
965,16.2,16.8
966,16.4,17.2
967,16.8,17.2
968,17.2,17.4
969,17.2,17.8
970,17.4,18.2
971,17.8,18.2
972,18.2,18.4
973,18.2,18.8
974,18.4,19.2
975,18.8,19.2
976,19.2,19.4
977,19.2,19.8
978,19.4,20.2
979,19.8,20.2
980,20.2,20.4
981,20.2,20.8
982,20.4,21.2
983,20.8,21.2
984,21.2,21.4
985,21.2,21.8
986,21.4,22.2
987,21.8,22.2
988,22.2,22.4
989,22.2,22.8
990,22.4,23.2
991,22.8,23.2
992,23.2,23.4
993,23.2,23.8
994,23.4,24.2
995,23.8,24.2
996,24.2,24.4
997,24.2,24.8
998,24.4,25.2
999,24.8,25.2
1000,25.2,25.4
1001,25.2,25.8
1002,25.4,26.2
1003,25.8,26.2
1004,26.2,26.4
1005,26.2,26.8
1006,26.4,27.2
1007,26.8,27.2
1008,27.2,27.4
1009,27.2,27.8
1010,27.4,28.2
1011,27.8,28.2
1012,28.2,28.4
1013,28.2,28.8
1014,28.4,29.2
1015,28.8,29.2
1016,29.2,29.4
1017,29.2,29.8
1018,29.4,30.2
1019,29.8,30.2
1020,30.2,30.4
1021,30.2,30.8
1022,30.4,31.2
1023,30.8,31.2
1024,31.2,31.4
1025,31.2,31.8
1026,31.4,32.2
1027,31.8,32.2
1028,32.2,32.4
1029,32.2,32.8
1030,32.4,33.2
1031,32.8,33.2
1032,33.2,33.4
1033,33.2,33.8
1034,33.4,34.2
1035,33.8,34.2
1036,34.2,34.4
1037,34.2,34.8
1038,34.4,35.2
1039,34.8,35.2
1040,35.2,35.4
1041,35.2,35.8
1042,35.4,36.2
1043,35.8,36.2
1044,36.2,36.4
1045,36.2,36.8
1046,36.4,37.2
1047,36.8,37.2
1048,37.2,37.4
1049,37.2,37.8
1050,37.4,38.2
1051,37.8,38.2
1052,38.2,38.4
1053,38.2,38.8
